Mission Start Timestamp UTC,Mission Name,Pilot Name,# of Measurements,Unit System,,,,,,,
2023-08-11 12:51:45.000000, ,omar,13,METRIC,,,,,,,
,,,,,,,,,,,
Payload Type,Payload Serial Number,Timestamp UTC,Measurement Value,Measurement Metadata,Annotation Text,??,??,FPV Images,Local Position,Local Orientation,GPS Position
LPS,778ec56c9c5972254223e44f09a9e402,2023-08-11 12:53:45.773952,0.737599976,0.579999983,A,SUCTION,1,"['resources/2023_08_11-12_53_45-773952_56c41d10-e451-4d93-9759-191c7c4f54a7_cam_0.jpg', 'resources/2023_08_11-12_53_45-773952_56c41d10-e451-4d93-9759-191c7c4f54a7_cam_1.jpg']","[0.11537288129329681, 0.21513287723064423, 0.41564884781837463]","[-0.2016403294193592, 0.542070086329654, 5.821847622140219]","[nan, nan, nan]"
LPS,778ec56c9c5972254223e44f09a9e402,2023-08-11 12:54:17.810971,1.02,0.300000012,A,SUCTION,2,"['resources/2023_08_11-12_54_17-810971_5cd02244-1546-40fa-88b5-00564a203079_cam_0.jpg', 'resources/2023_08_11-12_54_17-810971_5cd02244-1546-40fa-88b5-00564a203079_cam_1.jpg']","[0.11984962224960327, 0.25797244906425476, 0.458193838596344]","[-0.17168430623970557, 0.6094706810741857, 5.722587448974686]","[nan, nan, nan]"
LPS,778ec56c9c5972254223e44f09a9e402,2023-08-11 12:54:29.005441,1.014,0.300000012,A,SUCTION,3,"['resources/2023_08_11-12_54_29-005441_6d483622-09a4-4649-8574-ab3eaf2bae22_cam_0.jpg', 'resources/2023_08_11-12_54_29-005441_6d483622-09a4-4649-8574-ab3eaf2bae22_cam_1.jpg']","[0.12057381123304367, 0.2767147123813629, 0.4752129912376404]","[-0.14451210421113703, 0.6679227415896838, 5.429821583247813]","[nan, nan, nan]"
LPS,778ec56c9c5972254223e44f09a9e402,2023-08-11 12:54:39.427142,1.091,0.300000012,A,SUCTION,4,"['resources/2023_08_11-12_54_39-427142_9cd0e4f7-4535-4852-be6e-85e8f4cd217f_cam_0.jpg', 'resources/2023_08_11-12_54_39-427142_9cd0e4f7-4535-4852-be6e-85e8f4cd217f_cam_1.jpg']","[0.11931607127189636, 0.2866818308830261, 0.4641092121601105]","[-0.1457840446407419, 0.6542634175466022, 5.276699297286989]","[nan, nan, nan]"
LPS,778ec56c9c5972254223e44f09a9e402,2023-08-11 12:55:14.167949,0.883599976,0.300000012,A,SUCTION,5,"['resources/2023_08_11-12_55_14-167949_34cd8cad-9190-4140-a1d6-4e761257a64f_cam_0.jpg', 'resources/2023_08_11-12_55_14-167949_34cd8cad-9190-4140-a1d6-4e761257a64f_cam_1.jpg']","[0.1349623203277588, 0.33964237570762634, 0.5204190611839294]","[-0.09333918111788354, 0.7118531346039492, 5.391942053187132]","[nan, nan, nan]"
LPS,778ec56c9c5972254223e44f09a9e402,2023-08-11 12:55:26.905236,0.642219971,0.300000012,A,SUCTION,6,"['resources/2023_08_11-12_55_26-905236_818340d9-7488-44b4-97de-9cc40dfe441d_cam_0.jpg', 'resources/2023_08_11-12_55_26-905236_818340d9-7488-44b4-97de-9cc40dfe441d_cam_1.jpg']","[0.14378856122493744, 0.3575114905834198, 0.5361925959587097]","[-0.10557062400040657, 0.6717571712081843, 5.3131153501184185]","[nan, nan, nan]"
LPS,778ec56c9c5972254223e44f09a9e402,2023-08-11 12:55:48.907498,0.708849976,0.300000012,A,SUCTION,7,"['resources/2023_08_11-12_55_48-907498_4a721c67-2081-42e6-9e2c-bf3f421d2425_cam_0.jpg', 'resources/2023_08_11-12_55_48-907498_4a721c67-2081-42e6-9e2c-bf3f421d2425_cam_1.jpg']","[0.14345435798168182, 0.3915710151195526, 0.5538265109062195]","[-0.07939748023231229, 0.652137185610532, 5.197608208074676]","[nan, nan, nan]"
